Job Code,Position Title,Department,Division,Job Family,Active or Inactive,Radford Level,Benchmarking Code One,Benchmarking One Percentage,Benchmarking Code Two,Benchmarking Two Percentage,Band Number,Range Min,Quartile One Top,Mid,Quartile Three Top,Max,Set Rate,AIP or Commissions,AIP Percentage,Commissions,Hourly or Salary,Exemption Status,EEOC Category,Job Description Link,Equity Structure
100,Junior Software Engineer,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,P1,,,,,1,55000,62500,70000,77500,85000,,AIP,20,0,Salary,Exempt,Technicians,https://internal.theguild.com/jobs/100,
101,Software Engineer,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,P2,,,,,2,80000,90000,100000,110000,120000,,AIP,20,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/101,
102,Senior Software Engineer,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,P3,,,,,3,105000,116250,127500,138750,150000,,None,10,0,Salary,Exempt,Professionals,https://internal.theguild.com/jobs/102,
103,Staff Software Engineer,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,P4,,,,,4,135000,147500,160000,172500,185000,,AIP,5,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/103,
104,Principal Software Engineer,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,P5,,,,,5,170000,187500,205000,222500,240000,,None,10,0,Salary,Exempt,Office & Clerical,https://internal.theguild.com/jobs/104,Options
105,Engineering Manager,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,M1,,,,,1,120000,132500,145000,157500,170000,,AIP,20,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/105,Options
106,Senior Engineering Manager,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,M2,,,,,2,150000,165000,180000,195000,210000,,AIP,15,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/106,RSU
107,Director of Engineering,DevOps & Infrastructure,Engineering & Technology,Engineering,Active,M3,,,,,3,175000,193750,212500,231250,250000,,AIP,20,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/107,RSU
108,Junior Designer,Product Design,Product,Design,Active,P1,,,,,1,55000,62500,70000,77500,85000,,AIP,0,0,Salary,Exempt,Professionals,https://internal.theguild.com/jobs/108,
109,Designer,Product Design,Product,Design,Active,P2,,,,,2,80000,90000,100000,110000,120000,,None,5,0,Salary,Exempt,Sales Workers,https://internal.theguild.com/jobs/109,Options
110,Senior Designer,Product Design,Product,Design,Active,P3,,,,,3,105000,116250,127500,138750,150000,,Commissions,0,0,Salary,Exempt,Office & Clerical,https://internal.theguild.com/jobs/110,Options
111,Staff Designer,Product Design,Product,Design,Active,P4,,,,,4,135000,147500,160000,172500,185000,,AIP,10,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/111,Options
112,Principal Designer,Product Design,Product,Design,Active,P5,,,,,5,170000,187500,205000,222500,240000,,None,0,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/112,
113,Design Manager,Product Design,Product,Design,Active,M1,,,,,1,120000,132500,145000,157500,170000,,AIP,10,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/113,Options
114,Senior Design Manager,Product Design,Product,Design,Active,M2,,,,,2,150000,165000,180000,195000,210000,,AIP,15,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/114,RSU
115,Director of Design,Product Design,Product,Design,Active,M3,,,,,3,175000,193750,212500,231250,250000,,AIP,10,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/115,Options
116,Associate Product Manager,Product Management,Product,Product Management,Active,P1,,,,,1,55000,62500,70000,77500,85000,,None,10,0,Salary,Non-Exempt,Sales Workers,https://internal.theguild.com/jobs/116,
117,Product Manager,Product Management,Product,Product Management,Active,P2,,,,,2,80000,90000,100000,110000,120000,,Commissions,10,0,Salary,Exempt,Sales Workers,https://internal.theguild.com/jobs/117,RSU
118,Senior Product Manager,Product Management,Product,Product Management,Active,P3,,,,,3,105000,116250,127500,138750,150000,,AIP,15,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/118,RSU
119,Staff Product Manager,Product Management,Product,Product Management,Active,P4,,,,,4,135000,147500,160000,172500,185000,,AIP,5,0,Salary,Non-Exempt,Office & Clerical,https://internal.theguild.com/jobs/119,Options
120,Principal Product Manager,Product Management,Product,Product Management,Active,P5,,,,,5,170000,187500,205000,222500,240000,,None,5,0,Salary,Exempt,Professionals,https://internal.theguild.com/jobs/120,
121,Operations Manager,Product Management,Product,Product Management,Active,M1,,,,,1,120000,132500,145000,157500,170000,,AIP,10,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/121,RSU
122,Senior Ops Manager,Product Management,Product,Product Management,Active,M2,,,,,2,150000,165000,180000,195000,210000,,AIP,25,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/122,RSU
123,Director of Operations,Product Management,Product,Product Management,Active,M3,,,,,3,175000,193750,212500,231250,250000,,AIP,10,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/123,Options
124,Junior Data Analyst,Program Management,Operations,Data & Analytics,Active,P1,,,,,1,55000,62500,70000,77500,85000,,Commissions,5,0,Salary,Non-Exempt,Office & Clerical,https://internal.theguild.com/jobs/124,RSU
125,Data Analyst,Program Management,Operations,Data & Analytics,Active,P2,,,,,2,80000,90000,100000,110000,120000,,None,5,0,Salary,Exempt,Technicians,https://internal.theguild.com/jobs/125,
126,Senior Data Analyst,Program Management,Operations,Data & Analytics,Active,P3,,,,,3,105000,116250,127500,138750,150000,,None,15,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/126,Options
127,Lead Data Analyst,Program Management,Operations,Data & Analytics,Active,P4,,,,,4,135000,147500,160000,172500,185000,,None,10,0,Salary,Exempt,Technicians,https://internal.theguild.com/jobs/127,
128,Principal Data Scientist,Program Management,Operations,Data & Analytics,Active,P5,,,,,5,170000,187500,205000,222500,240000,,None,10,0,Salary,Exempt,Professionals,https://internal.theguild.com/jobs/128,RSU
129,Distinguished Data Scientist,Program Management,Operations,Data & Analytics,Active,P6,,,,,6,210000,237500,265000,292500,320000,,AIP,5,0,Salary,Exempt,Office & Clerical,https://internal.theguild.com/jobs/129,Options
130,Analytics Manager,Program Management,Operations,Data & Analytics,Active,M1,,,,,1,120000,132500,145000,157500,170000,,AIP,10,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/130,RSU
131,Senior Analytics Manager,Program Management,Operations,Data & Analytics,Active,M2,,,,,2,150000,165000,180000,195000,210000,,AIP,25,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/131,RSU
132,Director of Analytics,Program Management,Operations,Data & Analytics,Active,M3,,,,,3,175000,193750,212500,231250,250000,,AIP,25,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/132,RSU
133,Senior Director of Analytics,Program Management,Operations,Data & Analytics,Active,M4,,,,,4,210000,232500,255000,277500,300000,,AIP,20,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/133,RSU
134,Marketing Coordinator,Demand Generation,Marketing,Marketing,Active,P1,,,,,1,55000,62500,70000,77500,85000,,AIP,20,0,Salary,Exempt,Sales Workers,https://internal.theguild.com/jobs/134,
135,Marketing Specialist,Demand Generation,Marketing,Marketing,Active,P2,,,,,2,80000,90000,100000,110000,120000,,Commissions,10,0,Salary,Exempt,Office & Clerical,https://internal.theguild.com/jobs/135,
136,Senior Marketing Manager,Demand Generation,Marketing,Marketing,Active,P3,,,,,3,105000,116250,127500,138750,150000,,Commissions,15,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/136,
137,Associate Director of Marketing,Demand Generation,Marketing,Marketing,Active,P4,,,,,4,135000,147500,160000,172500,185000,,Commissions,0,0,Salary,Exempt,Technicians,https://internal.theguild.com/jobs/137,Options
138,Director of Marketing,Demand Generation,Marketing,Marketing,Active,P5,,,,,5,170000,187500,205000,222500,240000,,AIP,15,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/138,Options
139,Marketing Manager,Demand Generation,Marketing,Marketing,Active,M1,,,,,1,120000,132500,145000,157500,170000,,AIP,25,0,Salary,Exempt,Executives,https://internal.theguild.com/jobs/139,Options
